userName,score,content,at,thumbsUpCount
Masood azmat,4,good but delivery charges problem,2026-03-04 10:47:45,0
Tinashe Matenga,5,great,2026-03-04 10:41:31,0
Mehedi Hassan,5,nice,2026-03-04 10:31:14,0
Sk Javed,4,nice,2026-03-04 10:05:18,0
Tumi Khoza,5,great,2026-03-04 09:41:28,0
paul kM,1,very poor support. i called to report counterfiet products and the agent doesnt even know where to transfer the call. there are duplicate/counterfiet products which i found and told them that the manufacturer also confirmed this. But there is no option on noon to report such vendors,2026-03-04 08:02:45,1
MD NAZRUL ISLAM,5,good discount app,2026-03-04 06:43:47,0
Abdulah Salah,5,البطلللل,2026-03-04 06:24:27,0
Romaan Amir,4,nic,2026-03-04 06:10:16,0
Nido Rajpoot,5,Good,2026-03-04 05:51:54,0
Ali Newaz,4,Good,2026-03-04 05:00:23,0
Imran Ourtis,5,🙌🙌🙌✌,2026-03-04 04:44:11,0
Yaseen Abbas,1,very bad very 👎 👎,2026-03-04 04:43:45,0
Sadardeen chachar,5,Very nice noon team,2026-03-04 04:25:27,0
Jishan Gaud,5,good For shopping,2026-03-04 04:02:45,0
Malik Rizwan,5,nice,2026-03-04 04:02:40,0
Jai Sriram,5,good service 💯,2026-03-04 04:00:40,0
Abhi Hussain Shaikh,5,excellent app👍,2026-03-04 03:57:31,0
Usman Khan,4,Best purchasing app ever on demand,2026-03-04 03:34:33,0
Rakesh I Dont No Rake,5,good,2026-03-04 03:16:16,0
irshad idrisi,5,good,2026-03-04 03:05:52,0
Shahzad Brohi,5,thkins,2026-03-04 03:03:57,0
Mohaimen Macala,5,🤩,2026-03-04 02:51:22,0
Mohamed Hashem,1,very bad noon they cancel order that I was having cupon discount so bad,2026-03-04 02:27:06,0
Mohammad Ruhayyem,5,Thank you very much for everything.,2026-03-04 01:55:14,0
Youssef Gohar,5,جامد جدي,2026-03-04 01:22:04,0
Ramees khan,5,good,2026-03-04 00:49:56,0
Salman Khan,4,good luck 👍,2026-03-04 00:41:53,0
